K429,B, ,5-b,3-h, ,BROOKLYN SCHOOL FOR GLOBAL STUDIES,7-r,7-m,7-w,,,,
K442,B, ,3-b,5-h, ,,,,,,,,
K443,A, ,1-b,5-h,3-wh,,,,,,,,
K447,A,1-a,2-b,2-h,4-wh,,,,,,,,
K448,A, ,3-b,4-h,1-wh,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,7-r,7-m,7-w,,,,
K452,B, ,7-b,1-h, ,,,,,,,,
K462,None, ,6-b,2-h, ,SECONDARY SCHOOL FOR LAW,7-r,8-m,7-w,,,,
K463,None, ,4-b,4-h, ,SECONDARY SCHOOL FOR JOURNALISM,7-r,7-m,7-w,,,,
K464,C, ,3-b,5-h, ,PARK SLOPE COLLEGIATE,7-r,8-m,7-w,,,,
K468,B, ,2-b,2-h,4-wh,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,,,
K484,A, ,8-b,1-h, ,,,,,,,,
K492,B, ,6-b,1-h,1-wh,,,,,,,,
K493,F, ,8-b, , ,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,7-r,8-m,7-w,,,,
K497,C, ,4-b,3-h,1-wh,SCHOOL FOR INTERNATIONAL STUDIES,8-r,8-m,7-w,,,,
K503,B,1-a, ,7-h, ,,,,,,,,
K506,B,2-a, ,7-h, ,,,,,,,,
K518,A, ,8-b,1-h, ,,,,,,,,
K522,F, ,8-b,1-h, ,,,,,,,,
K527,B, ,7-b,1-h, ,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,,,,,,
K531,C, ,8-b, , ,SCHOOL FOR HUMAN RIGHTS  THE,6-r,7-m,7-w,,,,
K533,D, ,8-b, , ,SCHOOL FOR DEMOCRACY AND LEADERSHIP,7-r,8-m,7-w,,,,
K534,B, ,7-b,2-h, ,,,,,,,,
K543,B, ,8-b, , ,SCIENCE  TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS,9-r,9-m,8-w,,,,
K554,A, ,1-b,7-h, ,ALL CITY LEADERSHIP SECONDARY SCHOOL,8-r,9-m,8-w,,,,
K555,A, ,7-b,1-h, ,BROOKLYN COLLEGE ACADEMY,9-r,9-m,8-w,,,,
K571,None, ,8-b, , ,,,,,,,,
K577,B, , ,6-h,2-wh,,,,,,,,
K581,D, ,9-b, , ,,,,,,,,
K582,D, ,2-b,7-h, ,,,,,,,,
K584,C, ,8-b,1-h, ,,,,,,,,
K586,B, ,4-b,5-h, ,LYONS COMMUNITY SCHOOL,7-r,7-m,7-w,,,,
K587,D, ,9-b, , ,,,,,,,,
K588,C, ,8-b,1-h, ,,,,,,,,
K590,C, ,9-b, , ,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,9-r,9-m,9-w,,,,
K592,None, ,6-b, ,1-wh,,,,,,,,
K596,F, ,7-b,1-h, ,,,,,,,,
K598,B, ,9-b, , ,,,,,,,,
K609,A,3-a,3-b,2-h, ,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,,,,
K614,A, ,6-b,3-h, ,,,,,,,,
K631,F, ,8-b,1-h, ,,,,,,,,
K634,D, ,8-b,1-h, ,,,,,,,,
K636,A, ,5-b,3-h, ,,,,,,,,
K644,B, ,8-b,1-h, ,,,,,,,,
K671,None, ,8-b,1-h, ,,,,,,,,
K676,C, ,5-b,4-h, ,,,,,,,,
K691,None, ,7-b,2-h, ,,,,,,,,
K677,C, ,6-b,2-h, ,,,,,,,,
K678,B, ,6-b,3-h, ,,,,,,,,
K690,B,1-a, ,2-h,5-wh,BROOKLYN STUDIO SECONDARY SCHOOL,8-r,8-m,8-w,,,,
K697,B, ,8-b,1-h, ,TEACHERS PREPARATORY HIGH SCHOOL,7-r,8-m,7-w,,,,
K821,A, , ,8-h, ,,,,,,,,
M001,B,7-a,1-b,1-h, ,,,,,,,,
M002,A,8-a, , , ,,,,,,,,
M003,C, , ,1-h,6-wh,,,,,,,,
M004,B, , ,9-h, ,,,,,,,,
M005,C, , ,9-h, ,,,,,,,,
M006,A,1-a, ,1-h,6-wh,,,,,,,,
M007,C, ,2-b,6-h, ,,,,,,,,
M008,B, , ,9-h, ,,,,,,,,
M009,A, , ,1-h,5-wh,,,,,,,,
M011,A,1-a,1-b,3-h,4-wh,,,,,,,,
M012,B,1-a,4-b,2-h, ,,,,,,,,
M013,C, ,3-b,5-h, ,,,,,,,,
M015,C, ,3-b,5-h, ,,,,,,,,
M018,A, , ,9-h, ,,,,,,,,
M019,B,1-a,2-b,4-h, ,,,,,,,,
M020,B,3-a, ,5-h, ,,,,,,,,
M028,B, ,1-b,8-h, ,,,,,,,,
M030,D, ,5-b,4-h, ,,,,,,,,
M033,B,2-a,1-b,3-h,1-wh,,,,,,,,
M034,C, ,2-b,6-h, ,,,,,,,,
M036,C, ,5-b,4-h, ,,,,,,,,
M037,C, ,4-b,4-h, ,,,,,,,,
M038,B, ,2-b,6-h, ,,,,,,,,
M040,A,1-a, ,1-h,6-wh,,,,,,,,
M047,None, ,3-b,5-h, ,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,7-r,8-m,7-w,,,,
M041,A,1-a, , ,7-wh,,,,,,,,
M042,A,9-a, , , ,,,,,,,,
M045,C, ,3-b,6-h, ,,,,,,,,
M046,B, ,5-b,4-h, ,,,,,,,,
M048,A, , ,9-h, ,,,,,,,,
M050,C, ,3-b,5-h, ,,,,,,,,
M051,B,1-a,1-b,5-h,1-wh,,,,,,,,
M052,B, , ,9-h, ,,,,,,,,
M054,B, ,1-b,1-h,5-wh,,,,,,,,
M057,A, ,2-b,6-h, ,,,,,,,,
M059,A,1-a, ,1-h,5-wh,,,,,,,,
M063,B, ,2-b,6-h, ,,,,,,,,
M064,C, ,2-b,5-h, ,,,,,,,,
M072,D, , ,8-h, ,,,,,,,,
M075,C, ,2-b,5-h,1-wh,,,,,,,,
M076,B, ,7-b,1-h, ,,,,,,,,
M077,A,1-a, , ,6-wh,,,,,,,,
M083,A, ,2-b,6-h, ,,,,,,,,
M084,F, ,2-b,4-h,2-wh,,,,,,,,
M087,B, , ,1-h,6-wh,,,,,,,,
M089,B,1-a, ,1-h,6-wh,,,,,,,,
M092,B, ,6-b,3-h, ,,,,,,,,
M096,B, ,2-b,7-h, ,,,,,,,,
M098,C, , ,9-h, ,,,,,,,,
M102,B, ,2-b,6-h, ,,,,,,,,
M104,B,5-a, ,1-h,1-wh,,,,,,,,
M108,A, ,2-b,6-h, ,,,,,,,,
M110,C,1-a,1-b,4-h,2-wh,,,,,,,,
M111,C,1-a,1-b,6-h,1-wh,,,,,,,,
M114,A,1-a, ,1-h,7-wh,,,,,,,,
M115,C, , ,9-h, ,,,,,,,,
M116,C,2-a, ,2-h,4-wh,,,,,,,,
M123,D, ,6-b,3-h, ,,,,,,,,
M124,A,9-a, , , ,,,,,,,,
M125,C, ,4-b,3-h, ,,,,,,,,
M126,A,5-a, ,2-h,1-wh,,,,,,,,
M128,B, , ,9-h, ,,,,,,,,
M129,C, ,4-b,4-h, ,,,,,,,,
M130,A,8-a, , , ,,,,,,,,
M131,A,7-a, ,1-h, ,,,,,,,,
M132,D, , ,9-h, ,,,,,,,,
M133,C, ,6-b,2-h, ,,,,,,,,
M134,C,2-a,2-b,4-h, ,,,,,,,,
M137,F,1-a,2-b,5-h, ,,,,,,,,
M140,D, ,1-b,7-h, ,,,,,,,,
