'K605', 'D', '7-b', '1-h', 'GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL', '8-r', '7-m', '7-w'
'K610', 'C', '6-b', '3-h', 'AUTOMOTIVE HIGH SCHOOL', '7-r', '7-m', '7-w'
'K615', 'B', '7-b', '2-h', 'TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL', '7-r', '8-m', '7-w'
'K617', 'None', '8-b', '1-h', 'HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA', '8-r', '7-m', '7-w'
'K618', 'None', '3-b', '5-h', 'ACADEMY OF INNOVATIVE TECHNOLOGY', '7-r', '7-m', '7-w'
'K620', 'B', '7-b', '1-h', 'WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL', '7-r', '8-m', '7-w'
'K629', 'None', '8-b', '1-h', 'CULTURAL ACADEMY FOR THE ARTS AND SCIENCES', '7-r', '7-m', '7-w'
'K632', 'None', '6-b', '3-h', 'FRANCES PERKINS ACADEMY', '7-r', '7-m', '7-w'
'K633', 'None', '8-b', '1-h', 'HIGH SCHOOL FOR MEDICAL PROFESSIONS', '7-r', '7-m', '7-w'
'K637', 'None', '8-b', '1-h', 'ACADEMY FOR CONSERVATION AND THE ENVIRONMENT', '7-r', '7-m', '7-w'
'K639', 'None', '3-b', '6-h', 'BROOKLYN LAB SCHOOL', '7-r', '7-m', '7-w'
'K642', 'None', '8-b', '1-h', 'URBAN ACTION ACADEMY', '7-r', '7-m', '7-w'
'K656', 'B', '7-b', '1-h', 'BROOKLYN HIGH SCHOOL OF THE ARTS', '8-r', '8-m', '8-w'
'K659', 'D', '1-b', '7-h', 'CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL', '7-r', '7-m', '7-w'
'K660', 'A', '7-b', '2-h', 'W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL', '7-r', '7-m', '7-w'
'K674', 'None', '5-b', '2-h', 'CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHITECTURE  AND TECHNOLOGY', '8-r', '9-m', '8-w'
'K683', 'None', '1-a', '5-b', '3-h', 'THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS  WRITERS AND PERFORMERS', '7-r', '8-m', '7-w'
'K685', 'A', '1-b', '8-h', 'EL PUENTE ACADEMY FOR PEACE AND JUSTICE', '7-r', '6-m', '6-w'
'K690', 'C', '1-a', '2-h', '5-wh', 'BROOKLYN STUDIO SECONDARY SCHOOL', '8-r', '8-m', '8-w'
'K697', 'A', '8-b', '1-h', 'TEACHERS PREPARATORY HIGH SCHOOL', '7-r', '8-m', '7-w'
'K698', 'None', '2-b', '7-h', 'SOUTH BROOKLYN COMMUNITY HIGH SCHOOL', '8-r', '8-m', '8-w'
'M047', 'C', '3-b', '5-h', '47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL', '7-r', '8-m', '7-w'
'M283', 'F', '4-b', '4-h', 'MANHATTAN THEATRE LAB HIGH SCHOOL', '8-r', '7-m', '8-w'
'M288', 'A', '4-b', '4-h', 'FOOD AND FINANCE HIGH SCHOOL', '8-r', '7-m', '7-w'
